value,variable,units,years_post,treatment,study,forest_type,region,burn_season,thin_type,other,other2
29.7,cwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
33.8,cwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
59.4,cwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
28,duff,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
23.1,duff,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
22.3,duff,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
18.1,duff,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
8.2,litter,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.1,litter,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,litter,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,litter,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
6.6,fwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.8,fwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.9,fwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
8.2,fwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
21.4,cwd,Mg/ha,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
11.5,cwd,Mg/ha,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
14.8,cwd,Mg/ha,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
18.1,cwd,Mg/ha,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.4,canopy_base_height,meters,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
6.9,canopy_base_height,meters,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
10,canopy_base_height,meters,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
10.7,canopy_base_height,meters,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.7,canopy_base_height,meters,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.3,canopy_base_height,meters,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
6.7,canopy_base_height,meters,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
8,canopy_base_height,meters,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
4.1,canopy_base_height,meters,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
4.4,canopy_base_height,meters,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.9,canopy_base_height,meters,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
5.5,canopy_base_height,meters,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
0.121,canopy_bulk_density,kg/m3,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.109,canopy_bulk_density,kg/m3,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.101,canopy_bulk_density,kg/m3,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.078,canopy_bulk_density,kg/m3,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.067,canopy_bulk_density,kg/m3,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.057,canopy_bulk_density,kg/m3,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.054,canopy_bulk_density,kg/m3,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.054,canopy_bulk_density,kg/m3,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.073,canopy_bulk_density,kg/m3,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
0.066,canopy_bulk_density,kg/m3,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
0.048,canopy_bulk_density,kg/m3,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
0.064,canopy_bulk_density,kg/m3,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
8.3,flame_length,meters,0,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
5.4,flame_length,meters,1.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.6,flame_length,meters,5.5,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.1,flame_length,meters,10,burn,mantgem,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.2,flame_length,meters,0,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
1.6,flame_length,meters,1.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.1,flame_length,meters,5.5,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.2,flame_length,meters,10,burn,mantgem,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.1,flame_length,meters,0,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
0.9,flame_length,meters,1.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
1.3,flame_length,meters,5.5,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
2,flame_length,meters,10,burn,mantgem,Ponderosa Pine,colorado_plateau,unknown,NA,NA,NA
49.1,duff,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
37.6,duff,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
21.8,duff,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
74.5,duff,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.7,ten_hour,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.8,ten_hour,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.1,ten_hour,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
5.7,ten_hour,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
16,litter,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
11.7,litter,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
15.7,litter,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
38.3,litter,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.7,hundred_hour,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.4,hundred_hour,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
2.2,hundred_hour,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.3,hundred_hour,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.69,one_hour,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.53,one_hour,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.57,one_hour,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
1.01,one_hour,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
21.9,cwd,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
20.9,cwd,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
37.4,cwd,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
37.1,cwd,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
32.5,duff,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
35.4,duff,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
31,duff,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
27.7,duff,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.3,ten_hour,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2,ten_hour,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.5,ten_hour,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.3,ten_hour,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
8.9,litter,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.9,litter,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
13.1,litter,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
24,litter,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
3.7,hundred_hour,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
3.3,hundred_hour,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
4.2,hundred_hour,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
3.8,hundred_hour,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.22,one_hour,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.14,one_hour,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.49,one_hour,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.54,one_hour,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
14.9,cwd,Mg/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
8.3,cwd,Mg/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
14.3,cwd,Mg/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
26.8,cwd,Mg/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
33.8,basal_area,m2/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
32,basal_area,m2/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
26.1,basal_area,m2/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
50.4,basal_area,m2/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
46,canopy_cover,Mg/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
47.9,canopy_cover,Mg/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
41.1,canopy_cover,Mg/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
66.8,canopy_cover,Mg/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
3.7,canopy_base_height,meters,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4,canopy_base_height,meters,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
5.4,canopy_base_height,meters,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
1,canopy_base_height,meters,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
13.8,shrub_cover,percent,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4.9,shrub_cover,percent,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
16.2,shrub_cover,percent,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
7.5,shrub_cover,percent,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.061,canopy_bulk_density,kg/m3,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.057,canopy_bulk_density,kg/m3,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.064,canopy_bulk_density,kg/m3,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
0.124,canopy_bulk_density,kg/m3,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
15068,seedling_density,seedlings/ha,3,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
6027,seedling_density,seedlings/ha,6,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
4521,seedling_density,seedlings/ha,10,undifferentiated,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
6301,seedling_density,seedlings/ha,0,control,chiono,Mixed Conifer,sierra_nevada,unknown,NA,NA,NA
25.1,basal_area,m2/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
24.3,basal_area,m2/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
25.4,basal_area,m2/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
53.2,basal_area,m2/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
30.8,canopy_cover,percent,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
26.8,canopy_cover,percent,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
35.1,canopy_cover,percent,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
48.9,canopy_cover,percent,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
3.1,canopy_base_height,meters,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
3.7,canopy_base_height,meters,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2.4,canopy_base_height,meters,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
1.1,canopy_base_height,meters,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.8,shrub_cover,percent,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
7.8,shrub_cover,percent,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
5.5,shrub_cover,percent,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
5.1,shrub_cover,percent,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.061,canopy_bulk_density,kg/m3,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.039,canopy_bulk_density,kg/m3,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.048,canopy_bulk_density,kg/m3,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
0.188,canopy_bulk_density,kg/m3,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
1293,seedling_density,seedlings/ha,3,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
752,seedling_density,seedlings/ha,6,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
1654,seedling_density,seedlings/ha,10,undifferentiated,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
2857,seedling_density,seedlings/ha,0,control,chiono,Ponderosa Pine,sierra_nevada,unknown,NA,NA,NA
23.907,basal_area,m2/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
30.424,basal_area,m2/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
529.167,density,trees/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
327.596,density,trees/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
27,qmd,cm,0,control,radcliffe1,Both,washington,spring,below,NA,NA
39.312,qmd,cm,19,control,radcliffe1,Both,washington,spring,below,NA,NA
1.371,duff,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
1.142,duff,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
3.625,litter,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
4.083,litter,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
0.529,one_hour,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
0.399,one_hour,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
1.95,ten_hour,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
4.875,ten_hour,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
2.196,hundred_hour,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
3.189,hundred_hour,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
26.262,thousand_sound,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
61.504,thousand_sound,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
16.517,thousand_rotten,Mg/ha,0,control,radcliffe1,Both,washington,spring,below,NA,NA
6.287,thousand_rotten,Mg/ha,19,control,radcliffe1,Both,washington,spring,below,NA,NA
24.249,basal_area,m2/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
27.643,basal_area,m2/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
798.6,density,trees/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
352.708,density,trees/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
22.96,qmd,cm,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
35.3415,qmd,cm,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
2.248,duff,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
1.562,duff,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
3.6925,litter,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
3.438,litter,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
0.61,one_hour,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
1.1825,one_hour,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
2.8305,ten_hour,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
6.7455,ten_hour,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
4.9575,hundred_hour,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
5.2465,hundred_hour,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
78.834,thousand_sound,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
104.953,thousand_sound,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
48.4795,thousand_rotten,Mg/ha,0,burn,radcliffe1,Both,washington,spring,below,NA,NA
33.3035,thousand_rotten,Mg/ha,14,burn,radcliffe1,Both,washington,spring,below,NA,NA
25.672,basal_area,m2/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
28.7885,basal_area,m2/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
566.595,density,trees/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
593.584,density,trees/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
26.7245,qmd,cm,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
42.0605,qmd,cm,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
1.5885,duff,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
2.3915,duff,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
3.5625,litter,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
3.6955,litter,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
0.4535,one_hour,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
0.964,one_hour,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
1.7285,ten_hour,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
8.383,ten_hour,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
5.496,hundred_hour,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
10.2125,hundred_hour,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
87.097,thousand_sound,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
121.93,thousand_sound,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
99.5275,thousand_rotten,Mg/ha,0,thin,radcliffe1,Both,washington,spring,below,NA,NA
71.2745,thousand_rotten,Mg/ha,17,thin,radcliffe1,Both,washington,spring,below,NA,NA
25.39033333,basal_area,m2/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
15.28266667,basal_area,m2/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
697.2853333,density,trees/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
243.248,density,trees/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
25.85333333,qmd,cm,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
39.28733333,qmd,cm,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
1.014666667,duff,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
1.149666667,duff,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
3.197,litter,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
3.007,litter,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
1.02,one_hour,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
0.899,one_hour,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
2.491666667,ten_hour,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
5.143333333,ten_hour,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
4.017,hundred_hour,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
5.077666667,hundred_hour,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
77.84733333,thousand_sound,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
120.212,thousand_sound,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
52.47766667,thousand_rotten,Mg/ha,0,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
54.86833333,thousand_rotten,Mg/ha,14,thinburn,radcliffe1,Both,washington,spring,below,NA,NA
33.9515,basal_area,m2/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
25.742,basal_area,m2/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
584.8035,density,trees/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
254.6175,density,trees/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
32.321,qmd,cm,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
41.944,qmd,cm,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
0.946,duff,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
1.016,duff,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
3.4335,litter,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
2.7885,litter,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
1.334,one_hour,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
3.029,one_hour,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
2.3925,ten_hour,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
5.271,ten_hour,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
2.5515,hundred_hour,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
2.8615,hundred_hour,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
36.911,thousand_sound,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
107.1135,thousand_sound,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
16.069,thousand_rotten,Mg/ha,0,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
3.145,thousand_rotten,Mg/ha,8,wildfire_low,radcliffe1,Both,washington,spring,below,NA,NA
6.608,duff,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
1.285,fwd,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.113,herb,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.693,hundred_hour,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
3.421,litter,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.381,one_hour,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.087,shrub,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.211,ten_hour,Mg/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
11.029,duff,Mg/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
1.775,fwd,Mg/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.54,herb,Mg/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
0.984,hundred_hour,Mg/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
4.267,litter,Mg/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
